;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Charging System;Channels Team;Channels Team;Order Management Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Channels Team;Order Management Team;Billing Team;Infra Team;Infra Team;Infra Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Order Management Team;Infra Team;Infra Team;Infra Team;Order Management Team;Security Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Infra Team;Order Management Team;Infra Team;Order Management Team;Infra Team
;App_Eri_AIR_PROD;App_Eri_CCN_PROD;App_Eri_CSN_PROD;App_Eri_EMA_PROD;App_Eri_EMM_PROD;App_Eri_NGV_PROD;App_Eri_OCC_PROD;App_Eri_SAPC_PROD;App_Eri_SDP_PROD;APP_QVN_CSRTB;App_Qv_Audit_PROD;App_Qv_BSSAPI_PROD;App_Qv_FIMED_PROD;App_Qv_InvFmt_PROD;App_Qv_MQ_PROD;App_Qv_MWBE_PROD;App_Qv_MWDB_PROD;App_Qv_MWFE_PROD;App_Qv_OE_PROD;App_Qv_QAPI_PROD;App_Qv_RBS_PROD;App_Qv_Sentry_PROD;App_Qv_SOBE_PROD;App_Qv_SOFE_PROD;App_Qv_Webapp_PROD;App_Qv_WebBE_PROD;App_Qv_WebDB_PROD;App_Qv_WebFE_PROD;App_Telepine_PROD;DZ-HWFW-CH;DZ-HWR-CH;DZ-HWSW-CH;Enhancesys;ERI_App_SIEM;ERI_ESXI_PROD;HP_SA-Switch;HW_BladesServer_HP_PROD;HW_Chasis_PROD;HW_Firewall_Jun_PROD;HW_HP_BladesServer_NOPROD;HW_LB_PROD;HW_RackServer_HP_PROD;HW_SAN_Switch_PROD;HW_SSP;HW_STORAGE_HP_NOPROD;HW_STORAGE_HP_PROD;HW_Switches_Aruba_PROD;HW_Switch_HP_PROD;HW_VCENTER_PROD;HW_Zabbix_Proxy;KPIDB;NOPROD;OpenCode;virtual machines
;AIR16_int2;CCN10;;ALGS2-L-EMA3;djezzy-dc1-FE-Server10;;;;m5sdp25b;;;rc51e00h002d;;rc51e00vm011j;;;;;;;;;;;rc51e00vm003ee;;;;dzstd02b;DebFW_CH_02;DebR_CH_02;DebSW_CH_02;;;ALG-S1-L-C002xBS001;ALG-S1-L-C005-SAN-SW02;ALG-S1-L-C002xBS001-ILO.dbss.otalgerie.com;ALG-S1-L-C005-OA2;;;;;ALG-S1-L-C005-SAN-SW02;;;;;DZ-DC1-BLS-C002-SW03-4;;;;;s2ussdbr2;
;m2air12;CCN11;;ALGS2-L-EMA4;djezzy-dc1-mm-esa;;;;m8sdp22a;;;rc51e00h002e;;rc51e00vm011k;;;;;;;;;;;rc51e00vm003f;;;;dzstd02c;DelFW_CH_01;DelR_CH_01;DelSW_CH_01;;;ALG-S1-L-C002xBS002;ALG-S1-L-C006-SAN-SW01;ALG-S1-L-C002xBS002-ILO.dbss.otalgerie.com;ALG-S1-L-C006-OA1;;;;;ALG-S1-L-C006-SAN-SW01;;;;;DZ-DC1-BLS-C003-SW01-2;;;;;s2ussdgw1;
;m3air13;;;ALGS2-L-EMA5;djezzy-dc1-mm-mgr;;;;m8sdp22b;;;rc51e00h002f;;rc51e00vm011l;;;;;;;;;;;rc51e00vm003ff;;;;dzstd02d;DelFW_CH_02;DelR_CH_02;DelSW_CH_02;;;ALG-S1-L-C002xBS003;ALG-S1-L-C006-SAN-SW02;ALG-S1-L-C002xBS003-ILO.dbss.otalgerie.com;ALG-S1-L-C006-OA2;;;;;ALG-S1-L-C006-SAN-SW02;;;;;DZ-DC1-BLS-C003-SW03-4;;;;;s2ussdgw2;
;m4air15;;;ALGS2-L-EMA6;djezzy-dc1-mm-sentinel;;;;m8sdp23a;;;;;rc51e00vm011m;;;;;;;;;;;rc51e00vm003g;;;;dzstp01a;Or1FW_CH_01;Or1R_CH_01;Or1SW_CH_01;;;ALG-S1-L-C002xBS005;ALG-S1-L-SAN-SW01;ALG-S1-L-C002xBS005-ILO.dbss.otalgerie.com;ALG-S2-L-C001-OA1;;;;;ALG-S1-L-SAN-SW01;;;;;DZ-DC1-BLS-C004-SW01-2;;;;;;
;m5air14;;;ALGS2-L-EMA7;djezzy-dc1-mm-Tracer;;;;m8sdp23b;;;;;rc51e00vm011n;;;;;;;;;;;rc51e00vm003h;;;;dzstp01b;Or1FW_CH_02;Or1R_CH_02;Or1SW_CH_02;;;ALG-S1-L-C002xBS006;ALG-S1-L-SAN-SW02;ALG-S1-L-C002xBS006-ILO.dbss.otalgerie.com;ALG-S2-L-C001-OA2;;;;;ALG-S1-L-SAN-SW02;;;;;DZ-DC1-BLS-C004-SW03-4;;;;;;
;m7air16;;;EMA_VIP_OAM_DC1;djezzy-dc1-mm1;;;;m9sdp14a;;;;;rc51e00vm011o;;;;;;;;;;;rc51e00vm003i;;;;dzstp02a;Or2FW_CH_01;Or2R_CH_01;Or2SW_CH_01;;;ALG-S1-L-C002xBS007;ALG-S2-L-C001-SAN-SW01;ALG-S1-L-C002xBS007-ILO.dbss.otalgerie.com;ALG-S2-L-C002-OA1;;;;;ALG-S2-L-C001-SAN-SW01;;;;;DZ-DC1-BLS-C005-SW01-2;;;;;;
;m8air6;;;EMA_VIP_OAM_DC2;djezzy-dc1-mm2;;;;m9sdp14b;;;;;rc51e00vm011p;;;;;;;;;;;rc51e00vm003j;;;;dzstp02b;Or2FW_CH_02;Or2R_CH_02;Or2SW_CH_02;;;ALG-S1-L-C002xBS008;ALG-S2-L-C001-SAN-SW02;ALG-S1-L-C002xBS008-ILO.dbss.otalgerie.com;ALG-S2-L-C002-OA2;;;;;ALG-S2-L-C001-SAN-SW02;;;;;DZ-DC1-BLS-C005-SW03-4;;;;;;
;m8air7;;;;djezzy-dc1-mm3;;;;m9sdp16a;;;;;;;;;;;;;;;;rc51e00vm003k;;;;dzstw01a;RbaFW_CH_01;Rba_M10i_R01;RbaSW_CH_01;;;ALG-S1-L-C002xBS013;ALG-S2-L-C002-SAN-SW01;ALG-S1-L-C002xBS013-ILO.dbss.otalgerie.com;ALG-S2-L-C003-OA1;;;;;ALG-S2-L-C002-SAN-SW01;;;;;DZ-DC1-BLS-C006-SW01-2;;;;;;
;m9air8;;;;djezzy-dc1-mm4;;;;m9sdp16b;;;;;;;;;;;;;;;;rc51e00vm003l;;;;dzstw01b;RbaFW_CH_02;Rba_M10i_R02;RbaSW_CH_02;;;ALG-S1-L-C003xBS001;ALG-S2-L-C002-SAN-SW02;ALG-S1-L-C003xBS001-ILO.dbss.otalgerie.com;ALG-S2-L-C003-OA2;;;;;ALG-S2-L-C002-SAN-SW02;;;;;DZ-DC1-BLS-C006-SW03-4;;;;;;
;m9air9;;;;djezzy-dc1-mm5;;;;m10sdp15a;;;;;;;;;;;;;;;;rc51e00vm003m;;;;dzstw02a;SetFW_CH_01;SetR_CH_01;SetSW_CH_01;;;ALG-S1-L-C003xBS002;ALG-S2-L-C003-SAN-SW01;ALG-S1-L-C003xBS002-ILO.dbss.otalgerie.com;ALG-S2-L-C004-OA1;;;;;ALG-S2-L-C003-SAN-SW01;;;;;DZ-DC1-BLS-C007-SW01-2;;;;;;
